,id,price,property_type,room_type,listing_duration,hosting_duration,calculated_host_listings_count,guests_included,extra_people,availability_365,availability_60,total_amenities,Pool,Family/kid friendly,Dryer,TV,Breakfast,Smoke detector,Free parking on premises,Paid parking on premises,Essentials,Pets allowed,Shampoo,Gym,Suitable for events,Free street parking,Laptop friendly workspace,minimum_nights,maximum_nights,neighbourhood_group_cleansed,number_of_reviews_ltm,reviews_per_month,review_scores_location,review_scores_cleanliness,review_scores_accuracy,review_scores_value,latitude,longitude
2087,19901509,135,Apartment,Entire home/apt,394.0,766.0,7,2,11,0,0,27,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1125,Central Region,17,1.46,9.0,10.0,10.0,9.0,1.31101,103.85265
2088,19918177,218,Serviced apartment,Entire home/apt,328.0,1767.0,193,4,50,293,7,20,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,3,1125,Central Region,1,0.13,10.0,9.0,7.0,8.0,1.31419,103.85323
2089,19936126,150,Apartment,Entire home/apt,684.0,853.0,6,2,20,313,22,35,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,4,1125,Central Region,7,0.98,10.0,9.0,9.0,9.0,1.31029,103.85423
2090,19954126,46,Apartment,Entire home/apt,0.0,98.0,1,1,35,116,0,16,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,90,365,Central Region,0,0.05,10.0,10.0,10.0,10.0,1.34477,103.76858
2091,19971871,97,Apartment,Entire home/apt,0.0,1066.0,1,1,0,0,0,18,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,7,1125,East Region,0,0.05,10.0,8.0,10.0,10.0,1.32518,103.90827
2092,19975545,129,Other,Entire home/apt,661.0,688.0,15,1,0,66,35,22,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,3,1125,Central Region,11,0.77,9.0,10.0,10.0,9.0,1.32277,103.85374
2093,20000821,130,Serviced apartment,Entire home/apt,519.0,704.0,15,1,0,356,51,16,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,3,1125,Central Region,8,0.61,9.0,10.0,10.0,9.0,1.32333,103.85381
2094,20004744,158,Condominium,Entire home/apt,629.0,670.0,1,1,0,65,34,30,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,3,1125,Central Region,20,1.36,10.0,10.0,10.0,9.0,1.28031,103.83971
2095,20005185,41,Townhouse,Private room,667.0,1516.0,3,1,12,1,1,28,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1125,East Region,75,6.44,10.0,10.0,10.0,9.0,1.34059,103.95971
2096,20016347,230,Apartment,Entire home/apt,149.0,236.0,1,1,0,181,60,50,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,90,1125,West Region,0,0.09,10.0,10.0,10.0,9.0,1.33628,103.74104
2097,20016671,108,Apartment,Entire home/apt,0.0,507.0,7,1,30,326,21,21,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3,1125,Central Region,0,0.05,10.0,8.0,6.0,6.0,1.32452,103.8429
2098,20017330,43,House,Private room,667.0,1519.0,3,1,12,0,0,18,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1125,East Region,9,0.61,9.0,9.0,9.0,9.0,1.33934,103.95888
2099,20018299,129,Serviced apartment,Entire home/apt,662.0,708.0,15,1,0,67,36,17,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1125,Central Region,20,1.19,10.0,10.0,10.0,9.0,1.32365,103.854
2100,20019928,130,Serviced apartment,Entire home/apt,289.0,410.0,15,1,0,180,59,17,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1125,Central Region,1,0.2,10.0,10.0,10.0,10.0,1.32334,103.85325
2101,20027946,38,Apartment,Private room,344.0,470.0,1,1,0,46,38,13,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,1125,North Region,5,1.07,10.0,9.0,10.0,10.0,1.43056,103.83129
2102,20038212,69,Apartment,Private room,244.0,1103.0,1,1,0,0,0,18,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1125,East Region,0,1.08,9.0,10.0,10.0,10.0,1.37609,103.94342
2103,20039387,225,Other,Entire home/apt,644.0,709.0,22,1,0,345,40,37,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,6,1125,Central Region,7,0.53,10.0,10.0,10.0,10.0,1.29889,103.8429
2104,20040797,118,Apartment,Entire home/apt,681.0,710.0,15,1,0,65,34,22,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,3,1125,Central Region,15,1.03,9.0,10.0,10.0,10.0,1.32507,103.85357
2105,20040955,148,Serviced apartment,Entire home/apt,0.0,35.0,15,1,0,359,54,17,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1125,Central Region,0,0.04,10.0,10.0,10.0,10.0,1.32281,103.85245
2106,20047241,301,Condominium,Entire home/apt,627.0,1226.0,3,1,0,253,14,27,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,2,1125,Central Region,25,1.7,9.0,9.0,9.0,9.0,1.29688,103.89456
2107,20059256,129,Other,Entire home/apt,655.0,706.0,15,1,0,169,48,12,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,3,1125,Central Region,16,0.89,10.0,10.0,10.0,10.0,1.32291,103.85248
2108,20060105,118,Apartment,Entire home/apt,667.0,709.0,15,1,0,156,35,13,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1125,Central Region,13,0.83,10.0,10.0,10.0,10.0,1.32319,103.85231
2109,20060493,125,Apartment,Entire home/apt,11.0,704.0,1,1,0,0,0,23,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1125,Central Region,0,0.09,10.0,8.0,10.0,8.0,1.30963,103.83984
2110,20065234,145,Other,Private room,333.0,838.0,18,1,0,329,33,17,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1125,Central Region,1,0.09,8.0,9.0,10.0,8.0,1.31121,103.8589
2111,20069280,51,Apartment,Private room,395.0,1973.0,3,1,18,365,60,30,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,2,180,West Region,6,0.47,9.0,9.0,10.0,9.0,1.40288,103.74481
2112,20084815,260,Serviced apartment,Entire home/apt,560.0,724.0,22,1,0,359,54,32,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,6,1125,Central Region,6,0.57,10.0,10.0,10.0,10.0,1.30399,103.83351
2113,20094056,199,Serviced apartment,Entire home/apt,535.0,707.0,20,1,0,352,47,38,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,6,1125,West Region,6,0.58,9.0,10.0,10.0,9.0,1.29819,103.76398
2114,20097996,269,Condominium,Entire home/apt,525.0,826.0,11,1,0,365,60,15,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,3,1125,Central Region,1,0.13,7.0,7.0,7.0,6.0,1.2922,103.80806
2115,20098415,120,Condominium,Private room,1.0,1522.0,1,1,0,0,0,52,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1125,East Region,2,0.27,9.0,10.0,10.0,10.0,1.31729,103.91104
2116,20100445,129,Serviced apartment,Entire home/apt,436.0,617.0,15,1,0,359,54,22,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,3,1125,Central Region,6,0.5,9.0,10.0,10.0,9.0,1.32364,103.85386
2117,20112645,200,Apartment,Entire home/apt,625.0,675.0,8,4,30,331,26,23,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,15,800,Central Region,3,0.8,9.0,9.0,9.0,9.0,1.30025,103.90166
2118,20125122,142,Apartment,Entire home/apt,179.0,234.0,15,1,0,350,45,13,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1125,Central Region,0,0.13,9.0,9.0,9.0,9.0,1.32289,103.85343
2119,20126837,250,Tourism,Private room,545.0,1826.0,5,4,0,112,0,47,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,90,1125,Central Region,29,2.79,9.0,9.0,10.0,10.0,1.32401,103.84902
2120,20129822,236,Condominium,Entire home/apt,414.0,945.0,2,4,29,134,21,36,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,2,1125,Central Region,10,1.03,9.0,8.0,9.0,9.0,1.31803,103.8521
2121,20141569,195,Tourism,Entire home/apt,658.0,1815.0,16,1,35,141,24,31,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,2,1125,Central Region,43,3.56,10.0,10.0,10.0,9.0,1.31214,103.85527
2122,20142558,37,Apartment,Private room,680.0,1935.0,1,1,0,333,28,27,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,31,1125,West Region,4,0.52,9.0,10.0,10.0,10.0,1.38353,103.76407
2123,20155952,49,Apartment,Private room,543.0,607.0,2,1,7,0,0,21,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,5,1125,West Region,17,1.73,9.0,10.0,10.0,10.0,1.37881,103.75444
2124,20156054,345,Serviced apartment,Entire home/apt,514.0,723.0,20,4,54,362,57,38,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,6,1125,Central Region,4,0.28,10.0,10.0,8.0,9.0,1.28797,103.84441
2125,20177941,345,Serviced apartment,Entire home/apt,606.0,676.0,20,4,54,346,54,40,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,6,1125,Central Region,5,0.4,10.0,10.0,9.0,8.0,1.28891,103.84395
2126,20181595,30,Hostel,Shared room,336.0,760.0,8,1,28,364,59,21,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1125,Central Region,1,0.11,9.0,9.0,9.0,8.0,1.28305,103.84378
2127,20181944,30,Hostel,Shared room,0.0,923.0,8,1,28,365,60,18,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1125,Central Region,1,0.53,10.0,6.0,10.0,10.0,1.28416,103.84508
2128,20182075,95,Condominium,Private room,196.0,1154.0,2,1,35,363,58,21,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,90,1125,Central Region,0,0.31,10.0,10.0,9.0,9.0,1.28784,103.82714
2129,20195421,225,Other,Entire home/apt,538.0,708.0,22,1,0,344,39,36,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,6,1125,Central Region,10,0.63,10.0,9.0,10.0,9.0,1.29834,103.84168
2130,20196237,30,Condominium,Private room,255.0,1218.0,1,1,14,0,0,21,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1125,East Region,0,0.7,10.0,9.0,9.0,10.0,1.33921,103.95523
